date,stocks,count
2015-10-30,"ASHOKLEY, ASIANPAINT, AUROPHARMA, BAJAJFINSV, BAJFINANCE, BEL, BIOCON, BPCL, CESC, CHOLAFIN, CIPLA, COFORGE, DELTACORP, DRREDDY, EICHERMOT, EIDPARRY, GLENMARK, GODREJCP, HDFCBANK, HFCL, IDBI, INDUSINDBK, INFY, INTELLECT, IOC, ITC, KEC, KOTAKBANK, KPRMILL, LICHSGFIN, LUPIN, MARUTI, MPHASIS, NBCC, PETRONET, PRAJIND, RAJESHEXPO, RCOM, RELIANCE, SJVN, SRF, TATACOMM, TATAELXSI, TITAGARH, TORNTPOWER, TVSMOTOR, WELCORP, ZEEL, ZYDUSLIFE",49
2015-11-30,"AEGISLOG, ASHOKLEY, ASIANPAINT, AUROPHARMA, BAJFINANCE, BANKBARODA, BEL, BIOCON, BPCL, BSOFT, CGPOWER, COFORGE, DELTACORP, EIDPARRY, GAIL, GLENMARK, GLOBUSSPR, GMRINFRA, GODREJCP, HAVELLS, HDFCBANK, HFCL, IDBI, INDUSINDBK, INFY, INTELLECT, IOC, ITC, KEC, KOTAKBANK, LICHSGFIN, LTFOODS, M&M, MANINFRA, MARICO, MARUTI, NBCC, NHPC, PETRONET, PRAJIND, RADICO, RAIN, RAJESHEXPO, RCOM, RELIANCE, RPOWER, SAREGAMA, SJVN, SONATSOFTW, SRF, TATACOMM, TATAELXSI, TITAGARH, TITAN, TVSMOTOR, UNIONBANK, WELCORP, ZEEL, ZYDUSLIFE",59
2015-12-31,"ANANTRAJ, APLAPOLLO, ASHOKLEY, ASIANPAINT, AUROPHARMA, BAJFINANCE, BEL, BERGEPAINT, BIOCON, BPCL, BSOFT, CGPOWER, COFORGE, DABUR, DELTACORP, GAIL, GLOBUSSPR, GMRINFRA, GODREJCP, HAVELLS, HDFCBANK, HFCL, HIKAL, HINDUNILVR, IDBI, INDHOTEL, INDUSINDBK, INDUSTOWER, INFY, INTELLECT, IOC, ITC, JSWSTEEL, KARURVYSYA, KEI, KOTAKBANK, LICHSGFIN, M&M, MANAPPURAM, MANINFRA, MARICO, NBCC, NETWORK18, NHPC, NITCO, NTPC, PETRONET, POWERGRID, PRAJIND, RCOM, RELIANCE, RPOWER, SAREGAMA, SJVN, SONATSOFTW, SRF, TATACOMM, TATAELXSI, TITAGARH, TVSMOTOR, VOLTAS, WELCORP, ZEEL",63
2016-01-29,"APLAPOLLO, ASHOKLEY, ASIANPAINT, AUROPHARMA, BAJFINANCE, BEL, BERGEPAINT, BIOCON, BPCL, BSOFT, COFORGE, GAIL, GODREJCP, HAVELLS, HFCL, HINDZINC, INDHOTEL, INDUSINDBK, INFY, INTELLECT, IOC, JSWSTEEL, KOTAKBANK, LICHSGFIN, MANAPPURAM, MARICO, NBCC, NHPC, NTPC, PETRONET, PIDILITIND, POWERGRID, PRAJIND, RADICO, RELIANCE, RPOWER, SJVN, SONATSOFTW, SUNPHARMA, TATAELXSI, TITAGARH, TITAN, TORNTPOWER, TVSMOTOR, ZEEL",45
2016-02-29,"ASHOKLEY, ASIANPAINT, BAJFINANCE, BIOCON, BSOFT, EICHERMOT, HFCL, HINDZINC, INFY, JSWSTEEL, MANAPPURAM, MARICO, NHPC, PETRONET, PIDILITIND, RELIANCE, SJVN, SUNPHARMA, TORNTPOWER, TVSMOTOR",20
2016-03-31,"ADANIPOWER, AMBUJACEM, APOLLOTYRE, ASHOKLEY, ASIANPAINT, BAJFINANCE, BEL, BIOCON, BPCL, BSOFT, DLF, EICHERMOT, EIDPARRY, GAIL, GODREJCP, GRASIM, HAVELLS, HDFCBANK, HEROMOTOCO, HFCL, HINDALCO, HINDUNILVR, HINDZINC, INDHOTEL, INDUSINDBK, INFY, INTELLECT, ITC, JSWSTEEL, KOTAKBANK, LICHSGFIN, MANAPPURAM, MANINFRA, MARICO, NATIONALUM, NHPC, NMDC, PERSISTENT, PETRONET, PIDILITIND, POWERGRID, PRAJIND, RAJESHEXPO, RELIANCE, RPOWER, SHRIRAMFIN, SRF, TATAELXSI, TATAMOTORS, TATASTEEL, TCS, TORNTPOWER, TVSMOTOR, UPL, WIPRO, YESBANK",56
2016-04-29,"ADANIENT, ADANIPOWER, AEGISLOG, AMBUJACEM, ANANTRAJ, ASHOKLEY, ASIANPAINT, AXISBANK, BAJAJFINSV, BAJFINANCE, BHARTIARTL, BIOCON, BPCL, BSOFT, CENTRALBK, CESC, DABUR, DELTACORP, DLF, EXIDEIND, GAIL, GODREJCP, GSFC, HAVELLS, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, INDUSINDBK, INFY, INTELLECT, IOC, ITC, JSWSTEEL, KARURVYSYA, KOTAKBANK, M&M, MANAPPURAM, MANINFRA, MARICO, NATIONALUM, NBCC, NHPC, NTPC, PETRONET, PIDILITIND, POWERGRID, PRAJIND, PTC, RAYMOND, RELIANCE, RPOWER, SHRIRAMFIN, SRF, TATACHEM, TATACOMM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TITAN, TVSMOTOR, UPL, VEDL, VOLTAS, YESBANK, ZEEL",69
2016-05-31,"ADANIPOWER, AMBUJACEM, ANANTRAJ, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJFINANCE, BATAINDIA, BERGEPAINT, BHARTIARTL, BIOCON, BPCL, BSOFT, CESC, CGPOWER, CHAMBLFERT, CONCOR, DABUR, DCBBANK, DELTACORP, DLF, EICHERMOT, EXIDEIND, GAIL, GNFC, GODREJCP, GSFC, HAVELLS, HDFCBANK, HINDALCO, HINDUNILVR, HINDZINC, INDHOTEL, INDUSINDBK, INFY, IOC, ITC, JSWSTEEL, KARURVYSYA, KEC, KOTAKBANK, LICHSGFIN, LT, M&M, MANAPPURAM, MARICO, MARUTI, MOTHERSON, MUTHOOTFIN, NATIONALUM, NESTLEIND, NFL, NHPC, NTPC, PETRONET, PIDILITIND, POWERGRID, PTC, RAYMOND, RPOWER, SHRIRAMFIN, SIEMENS, SRF, TATACHEM, TATACOMM, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TITAN, TVSMOTOR, UPL, VEDL, VGUARD, VOLTAS, YESBANK, ZEEL",79
2016-06-30,"ADANIENSOL, ADANIENT, ADANIPOWER, ADANITRANS, AEGISLOG, AMBUJACEM, ANANTRAJ, ASHOKLEY, ASIANPAINT, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHARTIARTL, BIOCON, BPCL, BSOFT, CENTRALBK, CESC, CGPOWER, CHAMBLFERT, CHOLAFIN, COALINDIA, CONCOR, DABUR, DCBBANK, DELTACORP, DHANBANK, DLF, DRREDDY, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, GNFC, GODREJCP, GSFC, HAVELLS, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, INDHOTEL, INDIANB, INDUSINDBK, INFY, IOC, ITC, JSWENERGY, JSWSTEEL, KARURVYSYA, KOTAKBANK, LICHSGFIN, LT, M&M, MANAPPURAM, MANINFRA, MARICO, MARUTI, MFSL, MOTHERSON, MUTHOOTFIN, NATCOPHARM, NATIONALUM, NBCC, NESTLEIND, NFL, NHPC, NITCO, NMDC, NTPC, PETRONET, PIDILITIND, PNB, POWERGRID, PRAJIND, PTC, RAYMOND, RCF, RPOWER, SAIL, SBIN, SHRIRAMFIN, SIEMENS, SOUTHBANK, SPARC, SRF, TATACHEM, TATACOMM, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TITAN, TVSMOTOR, UPL, VEDL, VGUARD, VOLTAS, WIPRO, YESBANK, ZEEL",104
2016-07-29,"ADANIENSOL, ADANIENT, ADANITRANS, AEGISLOG, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BERGEPAINT, BHARTIARTL, BHEL, BIOCON, BPCL, CANBK, CASTROLIND, CENTRALBK, CENTURYPLY, CESC, CGPOWER, CHOLAFIN, COALINDIA, CONCOR, COROMANDEL, DABUR, DCBBANK, DELTACORP, DHANBANK, DLF, EXIDEIND, FEDERALBNK, GABRIEL, GAIL, GLENMARK, GMRINFRA, GNFC, GODREJCP, GRASIM, HAVELLS, HDFCBANK, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, INDHOTEL, INDIANB, INDUSINDBK, INDUSTOWER, IOC, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, KARURVYSYA, KOTAKBANK, LICHSGFIN, LT, LTFOODS, LUPIN, M&M, MANAPPURAM, MANINFRA, MARICO, MARUTI, MFSL, MOTHERSON, MUTHOOTFIN, NATIONALUM, NBCC, NESTLEIND, NHPC, NMDC, NTPC, PETRONET, PFC, PIDILITIND, PNB, POWERGRID, PTC, RAYMOND, RCF, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SHRIRAMFIN, SOUTHBANK, SPARC, SRF, SUNPHARMA, TATACHEM, TATACOMM, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TITAN, TVSMOTOR, UPL, VEDL, VGUARD, VOLTAS, YESBANK, ZEEL, ZYDUSLIFE",111
