date,stocks,count
2015-10-30,"ASHOKLEY, ASIANPAINT, AUROPHARMA, BAJFINANCE, BEL, BIOCON, BPCL, CESC, CIPLA, COFORGE, DELTACORP, DRREDDY, HDFCBANK, HFCL, IDBI, INDUSINDBK, INFY, INTELLECT, IOC, ITC, KOTAKBANK, LICHSGFIN, LUPIN, NBCC, PETRONET, PRAJIND, RAJESHEXPO, RCOM, RELIANCE, TATAELXSI, TVSMOTOR, ZEEL, ZYDUSLIFE",33
2015-11-30,"ASHOKLEY, AUROPHARMA, BAJFINANCE, BANKBARODA, BEL, BIOCON, BPCL, BSOFT, CGPOWER, COFORGE, DELTACORP, GAIL, GMRINFRA, HAVELLS, HDFCBANK, HFCL, IDBI, INFY, INTELLECT, IOC, ITC, LICHSGFIN, LTFOODS, M&M, MARICO, MARUTI, NBCC, NHPC, PETRONET, RADICO, RCOM, RELIANCE, RPOWER, TITAGARH, TVSMOTOR, UNIONBANK, WELCORP, ZEEL, ZYDUSLIFE",39
2015-12-31,"ANANTRAJ, APLAPOLLO, ASHOKLEY, AUROPHARMA, BAJFINANCE, BEL, BIOCON, BPCL, BSOFT, CGPOWER, DELTACORP, GAIL, GMRINFRA, HAVELLS, HDFCBANK, HFCL, HINDUNILVR, IDBI, INDHOTEL, INDUSTOWER, INFY, INTELLECT, IOC, ITC, JSWSTEEL, LICHSGFIN, M&M, MANAPPURAM, MANINFRA, MARICO, NBCC, NETWORK18, NHPC, NTPC, PETRONET, POWERGRID, PRAJIND, RCOM, RELIANCE, RPOWER, SAREGAMA, SJVN, TATAELXSI, TITAGARH, TVSMOTOR, VOLTAS, ZEEL",47
2016-01-29,"ASHOKLEY, ASIANPAINT, AUROPHARMA, BAJFINANCE, BEL, BIOCON, BPCL, COFORGE, GAIL, HAVELLS, HFCL, HINDZINC, INDHOTEL, INDUSINDBK, INFY, INTELLECT, IOC, JSWSTEEL, LICHSGFIN, MANAPPURAM, MARICO, NBCC, NHPC, NTPC, PETRONET, POWERGRID, PRAJIND, RELIANCE, RPOWER, SJVN, SUNPHARMA, TATAELXSI, TITAGARH, TITAN, TORNTPOWER, TVSMOTOR, ZEEL",37
2016-02-29,"ASHOKLEY, BAJFINANCE, BIOCON, HFCL, INFY, JSWSTEEL, MANAPPURAM, MARICO, NHPC, PETRONET, PIDILITIND, RELIANCE, SUNPHARMA, TVSMOTOR",14
2016-03-31,"ADANIPOWER, AMBUJACEM, APOLLOTYRE, ASHOKLEY, ASIANPAINT, BAJFINANCE, BEL, BIOCON, BPCL, BSOFT, DLF, GAIL, GODREJCP, HAVELLS, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, INDUSINDBK, INFY, INTELLECT, ITC, JSWSTEEL, KOTAKBANK, LICHSGFIN, MANAPPURAM, MARICO, NATIONALUM, NHPC, NMDC, PETRONET, POWERGRID, RELIANCE, RPOWER, SHRIRAMFIN, TATAELXSI, TATAMOTORS, TATASTEEL, TCS, TORNTPOWER, TVSMOTOR, UPL, WIPRO, YESBANK",45
2016-04-29,"ADANIENT, ADANIPOWER, AMBUJACEM, ANANTRAJ, ASHOKLEY, AXISBANK, BAJFINANCE, BHARTIARTL, BIOCON, BPCL, BSOFT, CESC, DABUR, DELTACORP, DLF, EXIDEIND, GAIL, HAVELLS, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, INDUSINDBK, INFY, IOC, ITC, JSWSTEEL, KOTAKBANK, M&M, MANAPPURAM, MARICO, NATIONALUM, NBCC, NHPC, NTPC, PETRONET, POWERGRID, PTC, RELIANCE, RPOWER, SHRIRAMFIN, TATACHEM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TITAN, TVSMOTOR, UPL, VEDL, VOLTAS, YESBANK, ZEEL",55
2016-05-31,"ADANIPOWER, AMBUJACEM, ANANTRAJ, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJFINANCE, BHARTIARTL, BIOCON, BPCL, BSOFT, CESC, CGPOWER, DABUR, DLF, EICHERMOT, EXIDEIND, GAIL, GSFC, HAVELLS, HDFCBANK, HINDALCO, HINDUNILVR, HINDZINC, INDUSINDBK, INFY, IOC, ITC, JSWSTEEL, KOTAKBANK, LICHSGFIN, LT, M&M, MANAPPURAM, MOTHERSON, NHPC, NTPC, PETRONET, PIDILITIND, POWERGRID, PTC, RPOWER, SHRIRAMFIN, SRF, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TITAN, TVSMOTOR, UPL, VEDL, VGUARD, VOLTAS, YESBANK, ZEEL",58
2016-06-30,"ADANIENT, ADANIPOWER, AMBUJACEM, ANANTRAJ, ASHOKLEY, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHARTIARTL, BIOCON, BPCL, BSOFT, CENTRALBK, CESC, CGPOWER, CHOLAFIN, COALINDIA, DABUR, DELTACORP, DHANBANK, DLF, DRREDDY, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, HAVELLS, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, INFY, IOC, ITC, JSWENERGY, JSWSTEEL, KOTAKBANK, LICHSGFIN, LT, M&M, MANAPPURAM, MANINFRA, MFSL, MOTHERSON, NBCC, NHPC, NMDC, NTPC, PETRONET, PNB, POWERGRID, PTC, RCF, RPOWER, SAIL, SBIN, SHRIRAMFIN, SOUTHBANK, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TITAN, TVSMOTOR, UPL, VEDL, VOLTAS, WIPRO, YESBANK, ZEEL",72
2016-07-29,"ADANIENSOL, ADANIENT, ADANITRANS, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHARTIARTL, BHEL, BIOCON, BPCL, CANBK, CASTROLIND, CESC, CGPOWER, COALINDIA, COROMANDEL, DABUR, DCBBANK, DELTACORP, DHANBANK, DLF, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, HAVELLS, HDFCBANK, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, INDHOTEL, INDUSINDBK, INDUSTOWER, IOC, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, KARURVYSYA, KOTAKBANK, LICHSGFIN, LT, LTFOODS, LUPIN, M&M, MANAPPURAM, MARICO, MFSL, MOTHERSON, NATIONALUM, NBCC, NHPC, NMDC, NTPC, PETRONET, PFC, PNB, POWERGRID, PTC, RCF, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SHRIRAMFIN, SOUTHBANK, SUNPHARMA, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TVSMOTOR, UPL, VEDL, VOLTAS, YESBANK, ZEEL, ZYDUSLIFE",87
2016-08-31,"ADANIENSOL, ADANIPORTS, ADANITRANS, AMBUJACEM, ANANTRAJ, APOLLOTYRE, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHEL, BIOCON, BPCL, CANBK, CASTROLIND, CENTRALBK, CESC, CGPOWER, CIPLA, COALINDIA, DABUR, DELTACORP, DLF, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, GRASIM, HAVELLS, HDFCBANK, HINDALCO, HINDZINC, ICICIBANK, IDBI, IDFCFIRSTB, INDHOTEL, INDIANB, IOC, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, KOTAKBANK, LICHSGFIN, LT, M&M, MANAPPURAM, MANINFRA, MARICO, MOTHERSON, MUTHOOTFIN, NBCC, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PIDILITIND, PNB, POWERGRID, PRAJIND, PTC, RAIN, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SHRIRAMFIN, SOUTHBANK, SRF, TATACHEM, TATACOMM, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TITAGARH, TITAN, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, YESBANK, ZEEL, ZYDUSLIFE",90
2016-09-30,"ADANIPORTS, AEGISLOG, AMBUJACEM, ANANTRAJ, APOLLOTYRE, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHEL, BIOCON, BPCL, CANBK, CASTROLIND, CENTRALBK, CESC, CGPOWER, CHOLAFIN, CIPLA, COALINDIA, DCBBANK, DELTACORP, DHANBANK, DLF, DRREDDY, EXIDEIND, FEDERALBNK, GAIL, GLOBUSSPR, GSFC, HAVELLS, HCLTECH, HDFCBANK, HINDALCO, HINDZINC, ICICIBANK, IDFCFIRSTB, INDUSINDBK, IOC, ITC, JINDALSTEL, JSWSTEEL, KARURVYSYA, KOTAKBANK, LICHSGFIN, LT, M&M, MANAPPURAM, MANINFRA, MARICO, MOTHERSON, NBCC, NHPC, NITCO, NMDC, NTPC, ONGC, PETRONET, PFC, PIDILITIND, PNB, POWERGRID, PTC, RADICO, RAYMOND, RECLTD, RELIANCE, SAIL, SBIN, SHRIRAMFIN, SOUTHBANK, SRF, TATACHEM, TATACOMM, TATAMOTORS, TATAPOWER, TATASTEEL, TITAN, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, YESBANK, ZEEL",87
2016-10-28,"ADANIENSOL, ADANIPORTS, ADANITRANS, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASIANPAINT, AUROPHARMA, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHEL, BIOCON, BPCL, CANBK, CASTROLIND, CESC, CGPOWER, CIPLA, COALINDIA, DABUR, DCBBANK, DELTACORP, DLF, DRREDDY, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, GNFC, GSFC, HAVELLS, HDFCBANK, HINDALCO, HINDZINC, ICICIBANK, IDBI, IDFCFIRSTB, IOC, ITC, JINDALSTEL, JSWSTEEL, KARURVYSYA, KOTAKBANK, LICHSGFIN, LT, MANAPPURAM, MANINFRA, MOTHERSON, NATIONALUM, NBCC, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PIDILITIND, PNB, POWERGRID, RADICO, RAIN, RAYMOND, RCF, RECLTD, RELIANCE, SAIL, SBIN, SHRIRAMFIN, SJVN, SOUTHBANK, SRF, TATACHEM, TATACOMM, TATAMOTORS, TATAPOWER, TATASTEEL, TVSMOTOR, UNIONBANK, UPL, VEDL, VGUARD, VOLTAS, YESBANK, ZEEL",86
2016-11-30,"ADANIENSOL, ADANIPORTS, ADANIPOWER, ADANITRANS, APOLLOTYRE, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BERGEPAINT, BHEL, BIOCON, BPCL, CANBK, CESC, CGPOWER, CHOLAFIN, CIPLA, DABUR, DCBBANK, DELTACORP, DRREDDY, EXIDEIND, FEDERALBNK, GAIL, GNFC, GRASIM, GSFC, HCLTECH, HDFCBANK, HINDALCO, HINDZINC, ICICIBANK, IDBI, IDFCFIRSTB, INDUSINDBK, INDUSTOWER, IOC, JINDALSTEL, JSWSTEEL, KOTAKBANK, LICHSGFIN, LT, MANAPPURAM, MOTHERSON, NATIONALUM, NBCC, NESTLEIND, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PNB, POWERGRID, PTC, RECLTD, SAIL, SBIN, SOUTHBANK, SRF, TATACHEM, TATACOMM, TATAMOTORS, TATAPOWER, TATASTEEL, TECHM, TVSMOTOR, UNIONBANK, UPL, VEDL, YESBANK",73
2016-12-30,"ADANIENSOL, ADANIENT, ADANIPORTS, ADANIPOWER, ADANITRANS, APOLLOTYRE, BAJAJFINSV, BEL, BIOCON, BPCL, CANBK, CESC, CIPLA, EXIDEIND, FEDERALBNK, GAIL, GSFC, HCLTECH, HDFCBANK, HINDALCO, HINDZINC, ICICIBANK, IDFCFIRSTB, INDUSINDBK, IOC, ITC, JSWSTEEL, LICHSGFIN, MOTHERSON, NATIONALUM, NBCC, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PNB, POWERGRID, RECLTD, RELIANCE, SAIL, SBIN, SONATSOFTW, SWANENERGY, TATACHEM, TATAMOTORS, TATAPOWER, TATASTEEL, TECHM, TITAGARH, TVSMOTOR, UPL, VEDL, YESBANK",55
2017-01-31,"ABFRL, ADANIENT, ADANIPORTS, ADANIPOWER, APOLLOTYRE, ASHOKLEY, BAJFINANCE, BANKBARODA, BEL, BEML, BHARTIARTL, BHEL, BIOCON, BPCL, CANBK, CESC, CHAMBLFERT, DCBBANK, DELTACORP, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, GNFC, GRASIM, GSFC, HAVELLS, HCLTECH, HDFCBANK, HINDALCO, HINDZINC, ICICIBANK, IDBI, IDFCFIRSTB, INDUSINDBK, IOC, ITC, JINDALSTEL, JSWSTEEL, KOTAKBANK, LICHSGFIN, LT, LTFOODS, MANAPPURAM, MOTHERSON, NATIONALUM, NBCC, NFL, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PNB, POWERGRID, PTC, RAIN, RCF, RECLTD, RELIANCE, SAIL, SBIN, SONATSOFTW, SRF, SWANENERGY, TATACHEM, TATACOMM, TATAMOTORS, TATAPOWER, TATASTEEL, TITAGARH, TORNTPOWER, TVSMOTOR, UNIONBANK, UPL, VEDL, VGUARD, YESBANK, ZEEL",80
2017-02-28,"ABFRL, ADANIENT, ADANIPORTS, ADANIPOWER, APOLLOTYRE, ASHOKLEY, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHARTIARTL, BHEL, BIOCON, BPCL, CANBK, CESC, CHAMBLFERT, CIPLA, COALINDIA, DCBBANK, DELTACORP, DHANBANK, DLF, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, GRASIM, HAVELLS, HCLTECH, HDFCBANK, HINDALCO, HINDZINC, ICICIBANK, IDBI, IDFCFIRSTB, INDUSINDBK, IOB, IOC, ITC, JINDALSTEL, JSWSTEEL, JUSTDIAL, KARURVYSYA, KOTAKBANK, LICHSGFIN, LT, LTFOODS, MANAPPURAM, MARICO, MFSL, MOTHERSON, NATIONALUM, NBCC, NFL, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PNB, POWERGRID, PTC, RADICO, RAIN, RAYMOND, RCF, RECLTD, RELIANCE, SAIL, SBIN, SJVN, SOUTHBANK, SRF, TATACHEM, TATACOMM, TATAPOWER, TATASTEEL, TCS, TECHM, TITAN, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, YESBANK, ZEEL, ZYDUSLIFE",90
2017-03-31,"ABFRL, ADANIENT, ADANIPORTS, ADANIPOWER, APOLLOTYRE, BAJFINANCE, BANKBARODA, BEL, BHARTIARTL, BHEL, BIOCON, BPCL, CANBK, CASTROLIND, CENTRALBK, CESC, CGPOWER, CIPLA, CROMPTON, DCBBANK, DELTACORP, DHANBANK, DLF, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, GRASIM, HCLTECH, HDFCBANK, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, INDHOTEL, INDUSINDBK, IOC, ITC, JINDALSTEL, JSWSTEEL, JUBLFOOD, JUSTDIAL, KARURVYSYA, KEC, KOTAKBANK, LICHSGFIN, LT, MANAPPURAM, MANINFRA, MARICO, MOTHERSON, NATIONALUM, NBCC, NFL, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PNB, POWERGRID, PTC, RAIN, RAYMOND, RCF, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SHRIRAMFIN, SOUTHBANK, TATACHEM, TATAPOWER, TATASTEEL, TCS, TITAN, TORNTPOWER, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, WIPRO, YESBANK, ZEEL",88
2017-04-28,"ABFRL, ADANIENSOL, ADANIENT, ADANIPORTS, ADANIPOWER, ADANITRANS, AMBUJACEM, ANANTRAJ, APOLLOTYRE, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHARTIARTL, BHEL, BIOCON, BPCL, CANBK, CASTROLIND, CESC, CGPOWER, CHAMBLFERT, CHOLAFIN, COFORGE, CONCOR, CROMPTON, DABUR, DCBBANK, DELTACORP, DHANBANK, DLF, EXIDEIND, FEDERALBNK, GAIL, GATEWAY, GMRINFRA, GRASIM, GSFC, HCLTECH, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, IDFCFIRSTB, INDIANB, INDUSINDBK, INDUSTOWER, IOB, IOC, ITC, JINDALSTEL, JSWSTEEL, JUBLFOOD, JUSTDIAL, KARURVYSYA, KOTAKBANK, LICHSGFIN, LT, M&M, MANAPPURAM, MANINFRA, MARICO, MFSL, MOTHERSON, MUTHOOTFIN, NATIONALUM, NBCC, NETWORK18, NFL, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PNB, POWERGRID, PTC, RADICO, RAIN, RAYMOND, RCF, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SOUTHBANK, SRF, TATACHEM, TATAPOWER, TATASTEEL, TITAN, TORNTPOWER, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, WIPRO, YESBANK, ZEEL",105
