date,stocks
2015-10-30,"INTELLECT (28.21), COFORGE (12.48), RAJESHEXPO (9.27), RELIANCE (6.28), BEL (6.05), IDBI (5.55), AUROPHARMA (5.50), CIPLA (5.42), PRAJIND (2.98), ZEEL (2.62), HDFCBANK (1.83), DRREDDY (1.79), BPCL (1.52), BIOCON (1.48), BAJFINANCE (1.13)"
2015-11-30,AUROPHARMA (3.26)
2015-12-31,"APLAPOLLO (49.64), INDHOTEL (42.56), RCOM (28.41), JSWSTEEL (24.93), NETWORK18 (23.78), VOLTAS (21.47), BIOCON (21.15), SJVN (20.37), INDUSTOWER (19.57), TATAELXSI (18.08), BEL (16.18), PETRONET (16.03), BAJFINANCE (15.52), MANINFRA (14.57), PRAJIND (14.34), AUROPHARMA (14.14), HFCL (12.65), ZEEL (12.33), MARICO (12.14), HAVELLS (11.47), LICHSGFIN (9.09), RELIANCE (8.73), INTELLECT (6.23), IOC (3.08)"
2016-01-29,"TATAELXSI (1.42), AUROPHARMA (1.10)"
2016-02-29,
2016-03-31,"INTELLECT (3.65), ADANIPOWER (2.37), ASHOKLEY (2.24), TVSMOTOR (1.91), NHPC (1.89), BEL (1.77), SHRIRAMFIN (1.72), HAVELLS (1.69), LICHSGFIN (1.58), BAJFINANCE (1.57), INDUSINDBK (1.55), GODREJCP (1.52), MANAPPURAM (1.51), HINDZINC (1.36), JSWSTEEL (1.30), INFY (1.16), ITC (1.03), RPOWER (1.03)"
2016-04-29,"NATIONALUM (5.57), BIOCON (5.09), DLF (5.09), DELTACORP (4.63), TATASTEEL (3.70), HFCL (3.58), INDUSINDBK (3.10), MANAPPURAM (3.09), BSOFT (3.02), YESBANK (2.72), JSWSTEEL (2.71), RPOWER (2.51), HAVELLS (2.37), ZEEL (2.06), PETRONET (1.91), MARICO (1.86)"
2016-05-31,
2016-06-30,"MANAPPURAM (13.00), CENTRALBK (12.36), BAJAJFINSV (11.15), VEDL (10.15), ANANTRAJ (9.66), MANINFRA (9.52), HINDALCO (8.21), DLF (7.88), JSWENERGY (7.16), ADANIENT (6.89), GMRINFRA (6.84), DELTACORP (5.90), RCF (5.37), HFCL (5.07), TITAN (4.99), PTC (4.89), AMBUJACEM (4.76), NHPC (4.58), IOC (4.01), TATAMOTORS (3.83), NTPC (3.76), CGPOWER (3.59), YESBANK (3.32), TVSMOTOR (3.18), POWERGRID (3.18), M&M (3.16), BPCL (3.09), CESC (3.07), JSWSTEEL (2.86), BEL (2.70)"
2016-07-29,"BAJFINANCE (5.71), VEDL (4.78), NBCC (4.78), JINDALSTEL (4.18), LTFOODS (3.97), IOC (3.81), MANAPPURAM (3.60), MOTHERSON (3.21), BAJAJFINSV (3.03), ANANTRAJ (2.74), JSWSTEEL (2.61), HINDZINC (2.48), UPL (2.23), YESBANK (2.20), TATASTEEL (2.16), TATAMOTORS (2.04), BPCL (2.03), DLF (2.01), ASIANPAINT (1.97), BIOCON (1.96), SHRIRAMFIN (1.93), ZEEL (1.92), HINDALCO (1.85), POWERGRID (1.72), MARICO (1.58), NATIONALUM (1.53), VOLTAS (1.52), CGPOWER (1.49), HAVELLS (1.49), EXIDEIND (1.46)"
