date,stocks,count
2015-10-30,"ASHOKLEY, AUROPHARMA, BAJFINANCE, BEL, BIOCON, BPCL, CIPLA, COFORGE, DRREDDY, HDFCBANK, IDBI, INDUSINDBK, INFY, INTELLECT, IOC, PRAJIND, RAJESHEXPO, RELIANCE, ZEEL, ZYDUSLIFE",20
2015-11-30,"ASHOKLEY, AUROPHARMA, BAJFINANCE, BEL, BIOCON, BPCL, CGPOWER, COFORGE, HAVELLS, HFCL, IDBI, INTELLECT, IOC, LTFOODS, M&M, MARICO, MARUTI, NBCC, PETRONET, RADICO, TITAGARH, WELCORP, ZEEL",23
2015-12-31,"APLAPOLLO, AUROPHARMA, BAJFINANCE, BEL, BIOCON, CGPOWER, HAVELLS, HFCL, IDBI, INDHOTEL, INDUSTOWER, INTELLECT, IOC, JSWSTEEL, LICHSGFIN, MANINFRA, MARICO, NETWORK18, PETRONET, PRAJIND, RCOM, RELIANCE, SJVN, TATAELXSI, VOLTAS, ZEEL",26
2016-01-29,"AUROPHARMA, BAJFINANCE, HFCL, JSWSTEEL, MARICO, PETRONET, PRAJIND, RELIANCE, TATAELXSI, TORNTPOWER, TVSMOTOR, ZEEL",12
2016-02-29,"JSWSTEEL, MARICO",2
2016-03-31,"ADANIPOWER, ASHOKLEY, ASIANPAINT, BAJFINANCE, BEL, BSOFT, GODREJCP, HAVELLS, HINDZINC, INDUSINDBK, INFY, INTELLECT, ITC, JSWSTEEL, LICHSGFIN, MANAPPURAM, MARICO, NHPC, PETRONET, RELIANCE, RPOWER, SHRIRAMFIN, TORNTPOWER, TVSMOTOR",24
2016-04-29,"ASHOKLEY, BAJFINANCE, BIOCON, BSOFT, DELTACORP, DLF, HAVELLS, HFCL, INDUSINDBK, INFY, JSWSTEEL, MANAPPURAM, MARICO, NATIONALUM, PETRONET, RPOWER, TATAELXSI, TATASTEEL, TVSMOTOR, YESBANK, ZEEL",21
2016-05-31,"ASHOKLEY, BAJFINANCE, BIOCON, BSOFT, HAVELLS, HDFCBANK, HINDZINC, INDUSINDBK, INFY, JSWSTEEL, KOTAKBANK, MANAPPURAM, NHPC, PETRONET, PIDILITIND, RPOWER, SHRIRAMFIN, TATAMOTORS, TATASTEEL, TITAN, VGUARD, YESBANK",22
2016-06-30,"ADANIENT, ADANIPOWER, AMBUJACEM, ANANTRAJ, AXISBANK, BAJAJFINSV, BAJFINANCE, BEL, BIOCON, BPCL, BSOFT, CENTRALBK, CESC, CGPOWER, CHOLAFIN, DABUR, DELTACORP, DLF, EXIDEIND, GAIL, GMRINFRA, HAVELLS, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, IOC, ITC, JSWENERGY, JSWSTEEL, KOTAKBANK, LICHSGFIN, M&M, MANAPPURAM, MANINFRA, NHPC, NTPC, PETRONET, POWERGRID, PTC, RCF, RPOWER, SHRIRAMFIN, TATAMOTORS, TATAPOWER, TITAN, TVSMOTOR, VEDL, VOLTAS, YESBANK, ZEEL",51
2016-07-29,"ADANIENSOL, ADANITRANS, AMBUJACEM, ANANTRAJ, ASIANPAINT, AXISBANK, BAJAJFINSV, BAJFINANCE, BIOCON, BPCL, CESC, CGPOWER, COROMANDEL, DELTACORP, DLF, EXIDEIND, GAIL, HAVELLS, HDFCBANK, HINDALCO, HINDUNILVR, HINDZINC, INDHOTEL, INDUSINDBK, IOC, ITC, JINDALSTEL, JSWSTEEL, KOTAKBANK, LTFOODS, M&M, MANAPPURAM, MARICO, MFSL, MOTHERSON, NATIONALUM, NBCC, NHPC, NTPC, PETRONET, POWERGRID, PTC, RELIANCE, RPOWER, SHRIRAMFIN, TATAMOTORS, TATASTEEL, UPL, VEDL, VOLTAS, YESBANK, ZEEL",52
