date,stocks,count
2015-10-30,"ASHOKLEY, AUROPHARMA, BAJFINANCE, BEL, BIOCON, BPCL, CIPLA, COFORGE, DRREDDY, HDFCBANK, IDBI, INDUSINDBK, INFY, INTELLECT, IOC, KOTAKBANK, LICHSGFIN, PRAJIND, RAJESHEXPO, RELIANCE, ZEEL, ZYDUSLIFE",22
2015-11-30,"ASHOKLEY, AUROPHARMA, BAJFINANCE, BANKBARODA, BEL, BIOCON, BPCL, CGPOWER, COFORGE, HAVELLS, HDFCBANK, HFCL, IDBI, INTELLECT, IOC, LICHSGFIN, LTFOODS, M&M, MARICO, MARUTI, NBCC, PETRONET, RADICO, RCOM, RELIANCE, TITAGARH, TVSMOTOR, WELCORP, ZEEL",29
2015-12-31,"APLAPOLLO, AUROPHARMA, BAJFINANCE, BEL, BIOCON, CGPOWER, HAVELLS, HDFCBANK, HFCL, IDBI, INDHOTEL, INDUSTOWER, INFY, INTELLECT, IOC, JSWSTEEL, LICHSGFIN, MANINFRA, MARICO, NETWORK18, NHPC, PETRONET, PRAJIND, RCOM, RELIANCE, SJVN, TATAELXSI, TITAGARH, TVSMOTOR, VOLTAS, ZEEL",31
2016-01-29,"ASIANPAINT, AUROPHARMA, BAJFINANCE, BIOCON, HAVELLS, HFCL, INFY, JSWSTEEL, MARICO, NHPC, PETRONET, PRAJIND, RELIANCE, TATAELXSI, TORNTPOWER, TVSMOTOR, ZEEL",17
2016-02-29,"JSWSTEEL, MARICO",2
2016-03-31,"ADANIPOWER, AMBUJACEM, APOLLOTYRE, ASHOKLEY, ASIANPAINT, BAJFINANCE, BEL, BIOCON, BPCL, BSOFT, DLF, GODREJCP, HAVELLS, HDFCBANK, HINDUNILVR, HINDZINC, INDUSINDBK, INFY, INTELLECT, ITC, JSWSTEEL, KOTAKBANK, LICHSGFIN, MANAPPURAM, MARICO, NHPC, PETRONET, RELIANCE, RPOWER, SHRIRAMFIN, TATASTEEL, TORNTPOWER, TVSMOTOR, YESBANK",34
2016-04-29,"ADANIPOWER, ASHOKLEY, BAJFINANCE, BIOCON, BPCL, BSOFT, DELTACORP, DLF, HAVELLS, HDFCBANK, HFCL, HINDZINC, INDUSINDBK, INFY, IOC, ITC, JSWSTEEL, MANAPPURAM, MARICO, NATIONALUM, NBCC, NTPC, PETRONET, POWERGRID, RPOWER, SHRIRAMFIN, TATAELXSI, TATASTEEL, TVSMOTOR, YESBANK, ZEEL",31
2016-05-31,"ASHOKLEY, ASIANPAINT, AUROPHARMA, BAJFINANCE, BIOCON, BPCL, BSOFT, CGPOWER, DLF, EXIDEIND, GAIL, HAVELLS, HDFCBANK, HINDZINC, INDUSINDBK, INFY, ITC, JSWSTEEL, KOTAKBANK, MANAPPURAM, NHPC, NTPC, PETRONET, PIDILITIND, POWERGRID, RPOWER, SHRIRAMFIN, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TITAN, UPL, VGUARD, VOLTAS, YESBANK, ZEEL",37
2016-06-30,"ADANIENT, ADANIPOWER, AMBUJACEM, ANANTRAJ, AXISBANK, BAJAJFINSV, BAJFINANCE, BEL, BHARTIARTL, BIOCON, BPCL, BSOFT, CENTRALBK, CESC, CGPOWER, CHOLAFIN, DABUR, DELTACORP, DLF, EXIDEIND, GAIL, GMRINFRA, HAVELLS, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, IOC, ITC, JSWENERGY, JSWSTEEL, KOTAKBANK, LICHSGFIN, M&M, MANAPPURAM, MANINFRA, MFSL, NHPC, NTPC, PETRONET, POWERGRID, PTC, RCF, RPOWER, SHRIRAMFIN, TATAMOTORS, TATAPOWER, TITAN, TVSMOTOR, VEDL, VOLTAS, WIPRO, YESBANK, ZEEL",54
2016-07-29,"ADANIENSOL, ADANITRANS, AMBUJACEM, ANANTRAJ, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BEL, BHARTIARTL, BIOCON, BPCL, CESC, CGPOWER, COROMANDEL, DELTACORP, DLF, EXIDEIND, GAIL, GMRINFRA, HAVELLS, HDFCBANK, HINDALCO, HINDUNILVR, HINDZINC, INDHOTEL, INDUSINDBK, IOC, ITC, JINDALSTEL, JSWSTEEL, KOTAKBANK, LICHSGFIN, LT, LTFOODS, M&M, MANAPPURAM, MARICO, MFSL, MOTHERSON, NATIONALUM, NBCC, NHPC, NMDC, NTPC, PETRONET, POWERGRID, PTC, RELIANCE, RPOWER, SHRIRAMFIN, TATAMOTORS, TATASTEEL, UPL, VEDL, VOLTAS, YESBANK, ZEEL",59
