date,stocks,count
2015-01-30,"ADANIENT, ADANIPORTS, ADANIPOWER, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BEML, BERGEPAINT, BHARTIARTL, BHEL, BIOCON, BPCL, BSOFT, CANBK, CANFINHOME, CASTROLIND, CENTRALBK, CENTURYPLY, CESC, CGPOWER, CHOLAFIN, CIPLA, COALINDIA, COFORGE, DABUR, DCBBANK, DELTACORP, DHANBANK, DLF, DRREDDY, EXIDEIND, FEDERALBNK, GABRIEL, GAIL, GATEWAY, GLENMARK, GMRINFRA, GRASIM, GSFC, HAVELLS, HCLTECH, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, INDHOTEL, INDUSINDBK, INDUSTOWER, INFY, INTELLECT, IOB, IOC, IPCALAB, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, KARURVYSYA, KOTAKBANK, KPRMILL, LICHSGFIN, LT, M&M, MANAPPURAM, MANINFRA, MARICO, MFSL, MOTHERSON, MUTHOOTFIN, NATIONALUM, NBCC, NESTLEIND, NETWORK18, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PIDILITIND, PNB, POWERGRID, PRAJIND, PRESTIGE, PTC, RAYMOND, RCF, RCOM, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SHRIRAMFIN, SIEMENS, SJVN, SOUTHBANK, SPARC, SRF, SUNPHARMA, TATACHEM, TATACOMM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TEXRAIL, TITAGARH, TITAN, TORNTPOWER, TVSMOTOR, UNIONBANK, UPL, VEDL, VGUARD, VOLTAS, WIPRO, YESBANK, ZEEL, ZYDUSLIFE",134
2015-02-28,"ACC, ADANIENT, ADANIPORTS, ADANIPOWER, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BEML, BERGEPAINT, BHARTIARTL, BHEL, BIOCON, BPCL, BSOFT, CANBK, CENTRALBK, CENTURYPLY, CESC, CGPOWER, CHAMBLFERT, CIPLA, COALINDIA, CONCOR, DABUR, DCBBANK, DELTACORP, DHANBANK, DLF, DRREDDY, EXIDEIND, FEDERALBNK, GAIL, GATEWAY, GLENMARK, GMRINFRA, GODREJCP, GRASIM, GSFC, HAVELLS, HCLTECH, HDFCBANK, HEROMOTOCO, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, IIFL, INDHOTEL, INDUSINDBK, INDUSTOWER, INFY, INTELLECT, IOB, IOC, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, KARURVYSYA, KEC, KOTAKBANK, KPRMILL, LICHSGFIN, LT, LUPIN, M&M, MANAPPURAM, MANINFRA, MARICO, MFSL, MOTHERSON, NATIONALUM, NBCC, NESTLEIND, NFL, NHPC, NMDC, NTPC, OBEROIRLTY, ONGC, PETRONET, PFC, PNB, POWERGRID, PRAJIND, PTC, RAYMOND, RCF, RCOM, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SHRIRAMFIN, SIEMENS, SJVN, SONATSOFTW, SOUTHBANK, SPARC, SRF, SUNPHARMA, TATACHEM, TATACOMM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TEXRAIL, TITAGARH, TITAN, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, WIPRO, YESBANK, ZEEL, ZYDUSLIFE",133
2015-03-31,"ADANIENT, ADANIPORTS, ADANIPOWER, AEGISLOG, AMBUJACEM, ANANTRAJ, APLAPOLLO, APOLLOTYRE, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BEML, BERGEPAINT, BHARTIARTL, BHEL, BIOCON, BPCL, BSOFT, CANBK, CASTROLIND, CENTRALBK, CESC, CGPOWER, CIPLA, COALINDIA, CONCOR, DABUR, DCBBANK, DELTACORP, DLF, DRREDDY, EICHERMOT, EXIDEIND, FEDERALBNK, GAIL, GATEWAY, GLENMARK, GMRINFRA, GODREJCP, GSFC, HAVELLS, HCLTECH, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, INDHOTEL, INDUSINDBK, INDUSTOWER, INFY, INTELLECT, IOB, IOC, IPCALAB, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, JUSTDIAL, KARURVYSYA, KEC, KOTAKBANK, LICHSGFIN, LT, LUPIN, M&M, MANAPPURAM, MANINFRA, MARICO, MFSL, MOTHERSON, NATCOPHARM, NATIONALUM, NBCC, NESTLEIND, NETWORK18, NHPC, NMDC, NTPC, ONGC, PERSISTENT, PETRONET, PFC, PIDILITIND, PNB, POWERGRID, PTC, RAJESHEXPO, RAYMOND, RCF, RCOM, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SHRIRAMFIN, SIEMENS, SJVN, SONATSOFTW, SOUTHBANK, SPARC, SUNPHARMA, TATACHEM, TATACOMM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TEXRAIL, TITAGARH, TITAN, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, WIPRO, YESBANK, ZEEL, ZYDUSLIFE",132
2015-04-30,"ADANIENT, ADANIPORTS, ADANIPOWER, AEGISLOG, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJFINANCE, BANKBARODA, BATAINDIA, BEL, BERGEPAINT, BHARTIARTL, BHEL, BIOCON, BPCL, BSOFT, CANBK, CANFINHOME, CENTRALBK, CESC, CGPOWER, CHAMBLFERT, CIPLA, COALINDIA, CONCOR, DABUR, DCBBANK, DELTACORP, DLF, DRREDDY, EICHERMOT, EXIDEIND, FEDERALBNK, GAIL, GATEWAY, GLENMARK, GMRINFRA, GODREJCP, HAVELLS, HCLTECH, HDFCBANK, HEROMOTOCO, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, INDUSINDBK, INDUSTOWER, INFY, INTELLECT, IOB, IOC, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, JUSTDIAL, KARURVYSYA, KEC, KEI, KOTAKBANK, LICHSGFIN, LT, LUPIN, M&M, MANAPPURAM, MANINFRA, MARICO, MOTHERSON, NATCOPHARM, NATIONALUM, NBCC, NESTLEIND, NETWORK18, NFL, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PIDILITIND, PNB, POWERGRID, PTC, RAIN, RAYMOND, RCF, RCOM, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SHRIRAMFIN, SIEMENS, SONATSOFTW, SOUTHBANK, SPARC, SRF, SUNPHARMA, TATACHEM, TATACOMM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TITAGARH, TITAN, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, WIPRO, YESBANK, ZEEL, ZYDUSLIFE",128
2015-05-29,"ADANIENT, ADANIPORTS, ADANIPOWER, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJFINANCE, BANKBARODA, BATAINDIA, BEL, BERGEPAINT, BHARTIARTL, BHEL, BIOCON, BPCL, BSOFT, CANBK, CENTRALBK, CENTURYPLY, CESC, CGPOWER, CIPLA, COALINDIA, COFORGE, CONCOR, DABUR, DCBBANK, DELTACORP, DHANBANK, DLF, DRREDDY, EICHERMOT, EXIDEIND, FEDERALBNK, GAIL, GATEWAY, GLENMARK, GMRINFRA, GODREJCP, HAVELLS, HCLTECH, HDFCBANK, HEROMOTOCO, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, INDUSINDBK, INDUSTOWER, INFY, IOB, IOC, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, JUSTDIAL, KARURVYSYA, KEC, KOTAKBANK, LICHSGFIN, LT, LUPIN, M&M, MANAPPURAM, MANINFRA, MARICO, MOTHERSON, NATCOPHARM, NATIONALUM, NBCC, NESTLEIND, NHPC, NMDC, NTPC, NUCLEUS, ONGC, PETRONET, PFC, PIDILITIND, PNB, POWERGRID, PRAJIND, PTC, RAIN, RCOM, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SHRIRAMFIN, SIEMENS, SONATSOFTW, SOUTHBANK, SPARC, SRF, SUNPHARMA, TATACHEM, TATACOMM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TITAN, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, WELCORP, WIPRO, YESBANK, ZEEL, ZYDUSLIFE",124
2015-06-30,"ADANIENT, ADANIPORTS, ADANIPOWER, AEGISLOG, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BEML, BHARTIARTL, BHEL, BIOCON, BPCL, BSOFT, CANBK, CENTRALBK, CESC, CGPOWER, CIPLA, COALINDIA, DABUR, DCBBANK, DELTACORP, DHANBANK, DLF, DRREDDY, EICHERMOT, EXIDEIND, FEDERALBNK, GAIL, GATEWAY, GLENMARK, GMRINFRA, HAVELLS, HCLTECH, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, INDUSINDBK, INDUSTOWER, INFY, IOB, IOC, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, KARURVYSYA, KEC, KOTAKBANK, LICHSGFIN, LT, LUPIN, M&M, MANAPPURAM, MANINFRA, MARICO, MOTHERSON, NATIONALUM, NBCC, NESTLEIND, NETWORK18, NHPC, NMDC, NTPC, ONGC, PERSISTENT, PETRONET, PFC, PIDILITIND, PNB, POWERGRID, PRAJIND, PTC, RAJESHEXPO, RAYMOND, RCOM, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SHRIRAMFIN, SIEMENS, SJVN, SOUTHBANK, SPARC, SRF, SUNPHARMA, TATACHEM, TATACOMM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TITAGARH, TITAN, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, WELCORP, WIPRO, YESBANK, ZEEL, ZYDUSLIFE",121
2015-07-31,"ADANIENT, ADANIPORTS, ADANIPOWER, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHARTIARTL, BHEL, BIOCON, BPCL, BSOFT, CANBK, CASTROLIND, CENTRALBK, CENTURYPLY, CESC, CGPOWER, CIPLA, COALINDIA, COFORGE, COLPAL, CONCOR, DABUR, DCBBANK, DELTACORP, DHANBANK, DLF, DRREDDY, EICHERMOT, EXIDEIND, FEDERALBNK, GABRIEL, GAIL, GARFIBRES, GATEWAY, GLENMARK, GMRINFRA, GODREJCP, GSFC, HAVELLS, HCLTECH, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, INDUSINDBK, INDUSTOWER, INFY, INTELLECT, IOB, IOC, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, KARURVYSYA, KEC, KEI, KOTAKBANK, KPRMILL, LICHSGFIN, LT, LUPIN, M&M, MANAPPURAM, MANINFRA, MARICO, MOTHERSON, NATIONALUM, NBCC, NESTLEIND, NETWORK18, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PIDILITIND, PNB, POWERGRID, PRAJIND, PTC, PVRINOX, RAJESHEXPO, RAYMOND, RCF, RCOM, RECLTD, RELIANCE, RPOWER, SAIL, SAREGAMA, SBIN, SHRIRAMFIN, SIEMENS, SJVN, SONATSOFTW, SOUTHBANK, SPARC, SRF, SUBROS, SUNPHARMA, TATACHEM, TATACOMM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TITAGARH, TITAN, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, WELCORP, WIPRO, YESBANK, ZEEL, ZYDUSLIFE",135
2015-08-31,"ADANIENSOL, ADANIENT, ADANIPORTS, ADANIPOWER, ADANITRANS, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BALAJITELE, BANKBARODA, BEL, BERGEPAINT, BHARTIARTL, BHEL, BIOCON, BPCL, BRITANNIA, BSOFT, CANBK, CASTROLIND, CENTRALBK, CENTURYPLY, CESC, CGPOWER, CHAMBLFERT, CIPLA, COALINDIA, COFORGE, CONCOR, DABUR, DCBBANK, DELTACORP, DIVISLAB, DLF, DRREDDY, EICHERMOT, EXIDEIND, FEDERALBNK, GABRIEL, GAIL, GARFIBRES, GATEWAY, GLENMARK, GMRINFRA, GODREJCP, GSFC, HAVELLS, HCLTECH, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, INDHOTEL, INDUSINDBK, INDUSTOWER, INFY, INTELLECT, IOB, IOC, IPCALAB, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, JUSTDIAL, KEC, KEI, KOTAKBANK, KPRMILL, LICHSGFIN, LT, LUPIN, M&M, MANAPPURAM, MANINFRA, MARICO, MOTHERSON, NATCOPHARM, NATIONALUM, NBCC, NESTLEIND, NETWORK18, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PIDILITIND, PNB, POWERGRID, PRAJIND, PTC, RAIN, RAJESHEXPO, RAYMOND, RCF, RCOM, RECLTD, RELIANCE, RPOWER, SAIL, SAREGAMA, SBIN, SHRIRAMFIN, SIEMENS, SJVN, SONATSOFTW, SOUTHBANK, SPARC, SRF, SUNPHARMA, TATACHEM, TATACOMM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TITAGARH, TITAN, TORNTPOWER, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, WELCORP, WIPRO, YESBANK, ZEEL, ZYDUSLIFE",143
2015-09-30,"ADANIENSOL, ADANIENT, ADANIPORTS, ADANIPOWER, ADANITRANS, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHARTIARTL, BHEL, BIOCON, BPCL, BSOFT, CANBK, CESC, CGPOWER, CIPLA, COALINDIA, COFORGE, CONCOR, DABUR, DCBBANK, DELTACORP, DIVISLAB, DLF, DRREDDY, EICHERMOT, EXIDEIND, FEDERALBNK, GAIL, GATEWAY, GLENMARK, GMRINFRA, GODREJCP, HAVELLS, HCLTECH, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, INDUSINDBK, INDUSTOWER, INFY, INTELLECT, IOB, IOC, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, JUSTDIAL, KARURVYSYA, KEC, KOTAKBANK, LICHSGFIN, LT, LUPIN, M&M, MANAPPURAM, MARICO, MARUTI, MOTHERSON, NATIONALUM, NBCC, NESTLEIND, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PNB, POWERGRID, PRAJIND, PTC, RAJESHEXPO, RCF, RCOM, RECLTD, RELIANCE, RPOWER, SAIL, SAREGAMA, SBIN, SHRIRAMFIN, SIEMENS, SJVN, SONATSOFTW, SOUTHBANK, SRF, SUNPHARMA, TATACHEM, TATACOMM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TITAGARH, TITAN, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, WELCORP, WIPRO, YESBANK, ZEEL, ZYDUSLIFE",123
2015-10-30,"ADANIENSOL, ADANIENT, ADANIPORTS, ADANIPOWER, ADANITRANS, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASHOKLEY, ASIANPAINT, AUROPHARMA, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHARTIARTL, BHEL, BIOCON, BPCL, BSOFT, CANBK, CESC, CGPOWER, CHOLAFIN, CIPLA, COALINDIA, COFORGE, CONCOR, DABUR, DCBBANK, DELTACORP, DLF, DRREDDY, EICHERMOT, EIDPARRY, EXIDEIND, FEDERALBNK, GAIL, GATEWAY, GLENMARK, GMRINFRA, GODREJCP, GSFC, HAVELLS, HCLTECH, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, IDBI, INDHOTEL, INDUSINDBK, INDUSTOWER, INFY, INTELLECT, IOB, IOC, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, JUSTDIAL, KARURVYSYA, KEC, KOTAKBANK, KPRMILL, LICHSGFIN, LT, LUPIN, M&M, MANAPPURAM, MARICO, MARUTI, MOTHERSON, MPHASIS, NATIONALUM, NBCC, NESTLEIND, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PNB, POWERGRID, PRAJIND, PTC, RAJESHEXPO, RAYMOND, RCF, RCOM, RECLTD, RELIANCE, RPOWER, SAIL, SBIN, SHRIRAMFIN, SJVN, SOUTHBANK, SRF, SUNPHARMA, TATACHEM, TATACOMM, TATAELXSI, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TITAGARH, TITAN, TORNTPOWER, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, WELCORP, WIPRO, YESBANK, ZEEL, ZYDUSLIFE",127
